id,location,date,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand
192,Algeria,2020-01-27,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
193,Algeria,2020-01-28,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
194,Algeria,2020-01-29,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
195,Algeria,2020-01-30,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
196,Algeria,2020-01-31,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
197,Algeria,2020-02-01,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
198,Algeria,2020-02-02,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
199,Algeria,2020-02-03,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
200,Algeria,2020-02-04,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
201,Algeria,2020-02-05,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
202,Algeria,2020-02-06,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
203,Algeria,2020-02-07,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
204,Algeria,2020-02-08,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
205,Algeria,2020-02-09,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
206,Algeria,2020-02-10,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
207,Algeria,2020-02-11,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
208,Algeria,2020-02-12,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
209,Algeria,2020-02-13,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
210,Algeria,2020-02-14,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
211,Algeria,2020-02-15,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
212,Algeria,2020-02-16,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
213,Algeria,2020-02-17,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
